item,VAT,hierarchy1,hierarchy2,description,pack_description,qty_in_stock,cases_in_stock,EAN1,EAN2,EAN3,Internal EAN 1,Internal EAN 2,Internal EAN 3,Internal EAN 4,Pack 1,Sell 1,Pack 2,Sell 2,Pack 3,Sell 3,promID ,promStart,promEnd,promSell Pack 1,promSell for Sell 1,promSell Pack 2,promSell for Sell 2,promSell Pack 3,promSell for Sell 3,Max. Order,RRP,POR %,PMP/Plain,Type
900099,A,16,16002,ORIGINAL SOURCE SHOWER GEL MINT,16x50ML,5,5,,,,,,,,,10.09,,,,,,,,,,,,,,,0.99,23.56,PLAIN,SINGLE
900100,A,16,16002,ORIGINAL SOURCE SHOWER GEL RASPBERR,6x250ML,3,3,,,,,,,,,5.49,,,,,,,,,,,,,,,1.49,26.31,PLAIN,SINGLE
900101,A,16,16007,PALMOLIVE SHAMPOO ANTI DANDRUFF PMP£1.25,6x350ML,4,4,,,,,,,,,4.59,,,,,,,,,,,,,,,1.25,26.56,PMP,SINGLE
900103,A,16,16007,PALMOLIVE SHOWER CREAM MILK & HONEY PMP£1,6x250ML,2,2,,,,,,,,,3.99,,,,,,,,,,,,,,,1,20.2,PMP,SINGLE
900102,A,16,16002,PALMOLIVE SHOWER Gel NATURAL COCONUT 250ML PMP £1,6x250ML,2,2,,,,,,,,,4.49,,,,,,,,,,,,,,,1,10.2,PMP,SINGLE
900105,Z,16,16010,PAMPERS BABY DRY CP SIZE 5,4x23`S,4,4,,,,,,,,,25.99,,,,,,,,,,,,,,,9.49,31.53,PLAIN,SINGLE
900106,Z,16,16010,PAMPERS BABY DRY PANTS CP PMP6.49,4x21'S,6,6,,,,,,,,,20.19,,,,,,,,,,,,,,,6.49,22.23,PMP,SINGLE
900107,A,16,16010,PAMPERS BABY WIPES HARMONIE AQUA PM2.50,14x48`S,3,3,,,,,,,,,21.49,,,,,,,,,,,,,,,2.5,26.32,PMP,SINGLE
80310,A,14,14012,RAID ANT&COCKROACH AEROSOL,6x300ML,3,3,,,,,,,,,12.99,,,,,,,,,,,,,,,3.99,34.89,PLAIN,SINGLE
192021,A,14,14010,STEEL SCRUBBERS,10x6 PC,7,7,,,,,,,,,6.99,,,,,,,,,,,,,,,0.99,15.27,PLAIN,SINGLE
192022,A,14,14004,DUST PAN WITH BRUSH,1x1,5,5,,,,,,,,,0.69,,,,,,,,,,,,,,,1.09,24.04,PLAIN,SINGLE
192023,A,14,14010,JUMBO STEEL SCRUBBERS,4x4 PC,22,22,,,,,,,,,0.49,12,5.73,,,,,,,,,,,,,0.29,49.31,PLAIN,VARIENT
192024,A,14,14010,SPONGE SCOURERS,1x5 PC,42,42,,,,,,,,,0.59,,,,,,,,,,,,,,,0.89,20.45,PLAIN,SINGLE
192025,A,14,14010,SPONGE SCRUBBERS,1x10 PC,134,134,,,,,,,,,0.59,,,,,,,,,,,,,,,0.99,28.48,PLAIN,SINGLE
192026,A,14,14010,"FOIL CONTAINER WITH LIDS 1600ML 9""X 9""",1x5 PC,2,2,,,,,,,,,1.29,,,,,,,,,,,,,,,1.99,22.21,PLAIN,SINGLE
192027,A,14,14010,FOIL CONTAINER WITH LIDS 230MM,1x50 PC,17,17,,,,,,,,,9.99,,,,,,,,,,,,,,,15.99,25.03,PLAIN,SINGLE
192028,A,15,15005,MEDIUM RECTANGULAR PLATES 260MM X 190MM,1x6 PC,8,8,,,,,,,,,0.55,,,,,,,,,,,,,,,0.99,33.33,PLAIN,SINGLE
192031,A,15,15005,REUSABLE DELUXE HEAVY-DUTY P COMPARTMENT SQUARE PL,1x50 PC,3,3,,,,,,,,,9.29,,,,,,,,,,,,,,,13.99,20.31,PLAIN,SINGLE
192038,A,15,15005,"REUSABLE DELUX 9"" 3 COMPARTMENT ROUND PLASTIC P",1x100 PC,17,17,,,,,,,,,3.99,,,,,,,,,,,,,,,5.99,20.07,PLAIN,SINGLE
902043,A,15,15005,REUSABLE DELUX HEAVY- DUTY P COMPARTMENT,1x50 PC,13,13,,,,,,,,,7.49,,,,,,,,,,,,,,,10.99,18.22,PLAIN,SINGLE
903282,A,15,15005,REUSABLE DELUX PLASTIC SPOONS 75PC,1x75PC,71,2,,,,,,,,,0.79,24,16.56,,,,,,,,,,,,,0.99,4.24,PLAIN,VARIENT
903283,A,15,15005,WOODEN SPOONS,1x100PC,13,1,,,,,,,,,1.19,10,9.99,,,,,,,,,,,,,1.99,28.24,PLAIN,VARIENT
904977,A,15,15005,DID 2PLY WHITE NAPKINS,1x100PC,33,1,,,,,,,,,0.95,20,19,,,,,,,,,,,,,1.59,28.3,PLAIN,VARIENT
